Cross Section (mm),Jak ,,,Milla ,,,Mahogany,,,Sp.clas uppers  ,,,Microcorys,,,Tamarind,,,Kumbuk,,,Class 1( Hora/Ketakela),,,Del,,,Grandis,,,Class 1 (Other),,,Ginisapu,,,Pinus,,,Class 11,,,Class 111,,
,4.2 below,Jak (rs.),Jak (Length 5.6m & above)(Rs),4.2 below,Milla (Rs.),Milla (Length 5.6m & above)(Rs),4.2 below,Mahogany (rs.),Mahogany (Length 5.6m & above)(Rs),4.2 below,Sp.clas uppers  (Rs.),Sp.clas uppers  (Length 5.6m & above)(Rs), 4.0m & below, 4.2m to 5.4m, 5.6 m & above, 4.0m & below, 4.2m to 5.4m, 5.6m & above, 4.0m & below, 4.2m to 5.4m, 5.6 m & above, 4.0m & below, 4.2m to 5.4m, 5.6 m & above, 4.0m & below, 4.2m to 5.4m, 5.6m & above, 4.0m & below, 4.2m to 5.4m, 5.6 m & above, 4.0m & below, 4.2m to 5.4m, 5.6 m & above, 4.0m & below, 4.2m to 5.4m, 5.6 m & above, 4.0m & below, 4.2m to 5.4m, 5.6m & above, 4.0m & below, 4.2m to 5.4m, 5.6 m & above, 4.0m & below, 4.2m to 5.4m, 5.6m & above
50x75,720.44,720.44,734.86,545.74,545.74,556.71,470.43,470.43,480.02,385.19,385.19,392.93,545.67,556.48,567.84,396.86,404.71,412.91,841.02,852.57,864.12,307.46,315.34,321.69,256.18,262.76,268.08,363.27,373.94,381.43,27.51,286.67,292.45,297.96,303.90,310.18,223.09,227.55,234.38,200.05,204.09,208.25,128.67,132.13,134.90
50x100,1020.51,1020.51,1041.02,773.04,773.04,788.63,666.67,666.67,680.06,546.55,546.55,557.52,734.72,745.95,760.78,534.30,542.39,553.36,1373.43,1384.98,1396.53,498.16,514.93,525.22,415.11,429.08,437.75,581.43,617.46,630.08,452.88,468.12,477.48,398.87,410.44,418.69,297.41,303.36,312.46,367.84,275.58,281.13,166.20,173.60,177.06
50x125,1354.54,1354.54,1381.84,1026.10,1026.10,1046.78,881.15,881.15,898.82,723.38,723.38,737.93,929.73,945.81,964.79,676.14,687.80,701.66,1716.78,1728.33,1739.88,531.20,535.64,546.44,422.71,446.41,455.42,617.46,633.12,645.88,482.91,486.95,496.77,506.07,511.19,521.59,71.79,379.23,390.61,339.80,343.27,350.20,207.67,211.13,215.41
50x150,1723.63,1723.63,1758.28,1305.73,1305.73,1331.95,1173.25,1173.25,1195.89,918.92,918.92,938.32,1124.05,1145.81,1168.95,817.39,833.33,850.08,2060.14,2071.69,2083.24,639.32,655.58,668.79,532.80,546.32,557.29,752.46,762.85,778.24,581.20,595.98,607.90,613.09,623.83,636.38,446.12,455.04,468.69,411.53,418.80,427.23,249.02,256.64,261.72
50x175,2051.42,2051.42,2092.58,1554.05,1554.05,1585.24,1337.49,1337.49,1364.29,1096.67,1096.67,1118.73,1324.05,1356.06,1383.37,962.92,986.14,1006.01,2403.50,2415.05,2426.60,755.44,767.89,783.26,629.59,639.87,652.69,887.04,907.97,926.26,686.76,698.08,712.06,719.29,735.81,750.67,520.50,530.91,546.84,482.91,43.99,504.04,290.71,298.34,304.23
50x200,2403.46,2403.46,2451.56,1820.74,1820.74,1857.24,1657.08,1657.08,1690.34,1288.86,1288.86,1314.62,1539.85,1567.15,1598.61,1119.80,1139.75,1162.62,2746.86,2758.41,2769.96,875.50,896.21,914.25,729.61,746.82,761.64,1027.16,1042.55,1063.48,795.91,814.74,831.14,831.94,854.40,871.58,594.83,606.72,624.92,558.44,573.57,585.12,332.18,343.27,350.20
75x100,1556.20,1556.20,1587.52,11178.91,11178.91,1202.59,1013.74,1013.74,1034.07,833.33,833.33,850.08,1118.78,1140.12,1162.99,813.58,829.17,845.81,2060.14,2071.69,2083.24,634.87,647.19,660.15,529.11,539.39,550.13,747.33,757.31,772.56,577.15,588.36,600.14,606.82,618.21,630.60,446.12,455.04,468.69,407.37,414.99,423.31,249.02,256.64,261.72
75x125,2063.34,2063.34,2104.64,1563.06,1563.06,1594.36,1346.73,1346.73,1373.99,1103.95,1103.95,1126.13,1415.94,1437.14,1465.83,1029.68,1045.04,1066.07,2575.18,2586.73,2598.28,805.37,821.76,838.28,671.17,684.80,698.74,94.56,964.93,984.20,732.15,747.05,762.07,764.22,787.01,803.03,557.63,565.79,585.85,513.05,528.41,539.04,309.66,320.74,327.33
75x150,2674.98,2674.98,2728.62,2026.45,2026.45,2067.10,1746.24,1746.24,1781.13,1434.86,1434.86,1463.50,1752.60,1786.14,1821.90,1274.66,1299.03,1325.02,3090.21,3101.76,3113.31,998.99,1016.02,1036.47,832.52,846.73,863.71,1164.20,1190.57,1214.55,908.18,923.65,942.25,946.07,969.02,988.35,669.21,682.59,703.07,635.13,650.50,663.55,381.38,392.70,400.55
75x175,3203.88,3203.88,3268.05,2427.12,2427.12,2475.74,2090.90,2090.90,2132.82,1711.71,1711.71,1746.01,2072.35,2105.89,2147.88,1507.04,1531.41,1562.02,3605.25,3616.80,3628.35,1176.74,1197.83,1221.84,980.60,998.15,1018.25,1375.88,1407.21,1435.34,1069.76,1088.93,1110.76,1123.45,1125.03,1175.15,780.72,796.34,820.23,754.22,773.39,788.98,442.71,454.26,463.39
75x200,3744.97,3744.97,3819.82,2837.03,2837.03,2893.74,2449.06,2449.06,2498.15,2004.04,2004.04,2044.23,2397.50,2436.31,2485.10,1743.59,1771.89,1807.34,4120.29,4131.84,4143.39,1363.25,1388.40,1416.23,1136.06,1156.96,1180.18,1592.51,1629.66,1662.51,1239.32,1262.18,1287.48,1301.34,1330.24,1356.83,892.24,910.08,937.38,873.64,893.05,910.95,504.04,519.63,530.03
100x100,2151.63,2151.63,2194.59,1629.94,1629.94,1662.51,1406.33,1406.33,1434.63,1154.42,1154.42,1177.64,1543.45,1576.30,1608.04,1122.43,1146.45,1169.44,2746.86,2758.41,2769.96,880.46,897.61,915.52,733.77,747.98,762.99,1031.88,1053.36,1074.57,800.42,816.01,832.86,837.06,854.73,871.91,594.83,606.72,624.92,561.91,573.80,585.35,338.76,350.20,357.24
100x125,2863.06,2863.06,2920.44,2168.97,2168.97,2212.40,1867.17,1867.17,1904.48,1531.41,1531.41,1562.02,1956.75,1995.42,2035.34,1423.08,1451.14,1480.25,3433.57,3445.12,3456.67,1117.79,1134.30,1157.04,931.51,945.25,964.19,1301.59,1333.47,1360.22,1016.17,1031.18,1051.86,1055.24,1083.81,1105.45,743.53,758.40,781.15,708.48,727.53,742.09,423.31,431.28,439.94
100x150,3639.08,3639.08,3711.90,2756.87,2756.87,2812.08,2374.56,2374.56,2422.38,1947.91,1947.91,1987.06,2381.15,2414.13,2462.64,1731.69,1755.72,170.94,4120.29,4131.84,4143.39,130.54,1379.76,1407.46,1125.43,1149.80,1172.90,1582.40,1618.85,1651.14,1227.77,1254.33,1279.51,1284.49,1318.68,1345.10,892.24,910.08,937.38,862.20,885.31,902.98,504.04,519.63,530.03
100x175,4350.24,4350.24,4437.28,3295.56,3295.56,3361.51,2840.15,2840.15,2897.09,2328.48,2328.48,2375.14,2810.95,2860.70,2917.95,2044.23,2080.39,2122.20,4807.01,4818.56,4830.11,1596.00,1625.86,1658.51,1329.98,1354.93,1382.07,1867.08,1905.06,1943.31,1450.91,1478.05,1507.74,1524.47,1564.94,1596.32,1040.65,1061.76,1093.62,1023.45,1050.59,1071.72,588.82,604.53,616.65
100x200,5090.50,5090.50,5192.51,3856.43,3856.43,3933.70,3319.82,3319.82,3386.46,2725.57,2725.57,2780.20,3257.10,3306.72,3372.97,2368.67,2404.94,2452.99,5493.71,5505.26,5516.81,1849.85,1879.58,1917.18,1541.58,1566.30,597.71,2158.70,2211.50,2255.72,1681.68,1708.71,1742.90,1765.28,1805.75,1841.92,1189.65,1213.44,1249.85,1185.03,112.29,1236.54,673.48,692.48,706.63
50x50,345.95,345.95,353.01,262.07,262.07,267.38,274.20,274.20,279.74,188.84,188.84,192.65,259.74,259.74,265.00,188.84,188.84,192.65,587.85,599.40,610.95,199.34,199.34,203.41,166.09,166.09,169.50,207.76,207.76,221.92,181.22,181.22,184.92,225.12,225.12,229.58,148.71,151.68,156.23,151.07,151.07,154.10,94.48,94.48,96.33
25x50,86.76,86.76,88.43,66.72,66.72,66.99,62.60,62.60,63.90,59.25,59.25,60.52,81.50,81.50,83.16,59.25,59.25,60.52,230.80,241.30,252.85,62.51,62.51,63.91,52.09,52.09,53.25,62.79,62.79,63.89,56.83,56.83,58.10,67.72,67.72,69.20,32.11,32.11,32.80,45.51,45.51,46.43,30.26,30.26,30.95
